id,sku,item_name,item_category,brand,bottle_size_ml,unit_type,units_per_case,location_name,location_stock,location_cost_price,location_selling_price,location_mrp,global_cost_price,global_selling_price,global_mrp,global_stock,tax_rate,reorder_level,reorder_qty,cogs_account_code,income_account_code,inventory_account_code
e6c62fab-60b4-411e-9c23-2a71e8c5c4a8,KI-001,Kings Hill Red,Wine,,750,Bottle,,House,0,756,1045,907.2,756,0,907.2,0,0,2,9,5100,4100,1200
6e362a0a-a8f2-4e9c-a490-50d52c583b12,KI-002,Kings Hill White,Wine,,750,Bottle,,Gokarna,0,756,907.2,907.2,756,0,907.2,0,0,2,9,5100,4100,1200
6e362a0a-a8f2-4e9c-a490-50d52c583b12,KI-002,Kings Hill White,Wine,,750,Bottle,,House,0,756,1045,907.2,756,0,907.2,0,0,2,9,5100,4100,1200
a9a48dd1-f4d8-4a88-a48d-5fc4a94faeb1,LA-001,Lays Sano,Other,,0,PCS,12,Gokarna,0,44,50,50,44,50,50,0,0,10,24,5100,4100,1200
a9a48dd1-f4d8-4a88-a48d-5fc4a94faeb1,LA-001,Lays Sano,Other,,0,PCS,12,House,0,44,55,50,44,50,50,0,0,10,24,5100,4100,1200
cab6a4ae-e151-4ce1-9f7c-f342f3d77c01,LA-002,Lays Thulo,Other,,0,PCS,12,Gokarna,0,70,80,100,70,80,100,0,0,10,24,5100,4100,1200
cab6a4ae-e151-4ce1-9f7c-f342f3d77c01,LA-002,Lays Thulo,Other,,0,PCS,12,House,0,70,115,100,70,80,100,0,0,10,24,5100,4100,1200
194d391f-08f9-452f-bbe3-0e91bd14860f,LI-001,Lighter,Other,,0,PCS,0,Gokarna,0,16.25,20,20,16.25,20,20,0,0,10,0,5100,4100,1200
194d391f-08f9-452f-bbe3-0e91bd14860f,LI-001,Lighter,Other,,0,PCS,0,House,0,16.25,25,20,16.25,20,20,0,0,10,0,5100,4100,1200
da007f07-7cfa-4c99-b90a-1afab623bb63,MA-001,Manang Valley,Wine,Manang,0,Bottle,12,Gokarna,11,808.33,950,950,808.33,950,950,11,0,10,24,5100,4100,1200
da007f07-7cfa-4c99-b90a-1afab623bb63,MA-001,Manang Valley,Wine,Manang,0,Bottle,12,House,0,808.33,1090,950,808.33,950,950,11,0,10,24,5100,4100,1200
305ddcc7-fe37-4d60-9f6d-ae92481d343c,MA-002,Manang  Small,Wine,Manang,0,Bottle,12,Gokarna,2,425,500,500,425,500,500,2,0,10,24,5100,4100,1200
305ddcc7-fe37-4d60-9f6d-ae92481d343c,MA-002,Manang Small,Wine,Manang,0,Bottle,12,House,0,425,575,500,425,500,500,2,0,10,24,5100,4100,1200
29576fa7-2a38-44c0-8827-76cb1e5ce2b4,MI-001,Mineral Water,Water,,0,PCS,12,Gokarna,15,11,20,20,11,20,20,15,0,10,2,5100,4100,1200
29576fa7-2a38-44c0-8827-76cb1e5ce2b4,MI-001,Mineral Water,Water,,0,PCS,12,House,0,11,25,20,11,20,20,15,0,10,2,5100,4100,1200
2f9197f7-228d-481c-8ae8-0bbbfc7f998d,MI-002,Misc Exp,Other,,0,Bottle,0,Gokarna,0,0,0,0,0,0,0,0,0,10,0,5100,4100,1200
2f9197f7-228d-481c-8ae8-0bbbfc7f998d,MI-002,Misc Exp,Other,,0,Bottle,0,House,0,0,0,0,0,0,0,0,0,10,0,5100,4100,1200
4bb831da-2e3d-4482-bd62-05df0c171742,MU-001,Mustang  Half,Whiskey,Mustang,375,Bottle,24,Gokarna,29,514.58,550,550,514.58,550,550,29,0,10,24,5100,4100,1200
4bb831da-2e3d-4482-bd62-05df0c171742,MU-001,Mustang  Half,Whiskey,Mustang,375,Bottle,24,House,0,514.58,630,550,514.58,550,550,29,0,10,24,5100,4100,1200
58704d38-49ac-4535-a4c2-344aa9acf53b,MU-002,Mustang Blk Full,Whiskey,Mustang,750,PCS,12,Gokarna,3,1200,1400,1400,1200,1400,1400,3,0,3,6,5100,4100,1200
58704d38-49ac-4535-a4c2-344aa9acf53b,MU-002,Mustang Blk Full,Whiskey,Mustang,750,PCS,12,House,0,1200,1610,1400,1200,1400,1400,3,0,3,6,5100,4100,1200
cc197d32-be40-4c35-aee8-b553af156838,MU-003,Mustang Blk Qtr,Whiskey,Mustang,180,PCS,48,Gokarna,11,300,340,340,300,340,340,11,0,10,24,5100,4100,1200
cc197d32-be40-4c35-aee8-b553af156838,MU-003,Mustang Blk Qtr,Whiskey,Mustang,180,PCS,48,House,0,300,390,340,300,340,340,11,0,10,24,5100,4100,1200
b6533a14-377b-4d29-8d77-fa4d2fe883ee,MU-004,Mustang Full,Whiskey,Mustang,750,Bottle,12,Gokarna,17,1029.17,1100,1100,1029.17,1100,1100,17,0,6,12,5100,4100,1200
